,0
285,74
286,69
287,76
288,75
289,75
290,76
291,73
292,76
293,73
294,77
295,73
296,72
297,72
298,77
299,77
300,71
301,74
302,74
303,73
304,78
305,75
306,73
307,70
308,74
309,72
310,73
311,73
312,75
313,75
314,74
315,76
316,73
317,74
318,75
319,75
320,72
321,73
322,73
323,72
324,74
325,78
326,76
327,73
328,74
329,75
330,70
331,75
332,71
333,72
334,78
335,75
336,73
337,73
338,71
339,75
340,77
341,72
342,69
343,73
344,74
345,72
346,70
347,75
348,70
349,72
350,72
351,74
352,73
353,74
354,76
355,75
356,80
357,72
358,75
359,73
360,74
361,74
362,73
363,75
364,75
365,71
366,73
367,75
368,74
369,74
370,72
371,74
372,74
373,74
374,73
375,76
376,75
377,72
378,73
379,73
380,73
381,72
382,72
383,72
384,72
385,71
386,75
387,75
388,74
389,73
390,75
391,79
392,74
393,76
394,73
395,74
396,74
397,72
398,74
399,74
400,75
401,78
402,74
403,74
404,74
405,77
406,70
407,73
408,74
409,73
410,71
411,75
412,71
413,72
414,77
415,74
416,70
417,77
418,73
419,72
420,76
421,71
422,76
423,78
424,75
425,73
426,78
427,74
428,79
429,75
430,76
431,72
432,75
433,75
434,70
435,72
436,70
437,74
438,71
439,76
440,73
441,76
442,71
443,69
444,72
445,72
446,69
447,73
448,69
449,73
450,74
451,74
452,72
453,71
454,72
455,72
456,76
457,76
458,76
459,74
460,76
461,75
462,71
463,72
464,71
465,73
466,75
467,76
468,75
469,71
470,75
471,74
472,72
473,73
474,73
475,73
476,73
477,76
478,72
479,76
480,73
481,73
482,73
483,75
484,75
485,77
486,73
487,72
488,75
489,70
490,74
491,72
492,80
493,71
494,71
495,74
496,74
497,73
498,75
499,76
500,73
501,77
502,72
503,73
504,77
505,76
506,71
507,75
508,73
509,74
510,77
511,71
512,72
513,73
514,69
515,73
516,70
517,74
518,76
519,73
520,73
521,75
522,73
523,79
524,74
525,73
526,74
527,77
528,75
529,74
530,73
531,77
532,73
533,77
534,74
535,74
536,73
537,77
538,74
539,77
540,75
541,77
542,75
543,71
544,74
545,70
546,79
547,72
548,72
549,70
550,74
551,74
552,72
553,73
554,72
555,74
556,74
557,76
558,82
559,74
560,74
561,70
562,73
563,73
564,74
565,77
566,72
567,76
568,73
569,73
570,72
571,74
572,74
573,71
574,72
575,75
576,74
577,74
578,77
579,70
580,71
581,73
582,76
583,71
584,75
585,74
586,72
587,76
588,79
589,76
590,73
591,76
592,78
593,75
594,76
595,72
596,72
597,73
598,73
599,75
600,71
601,76
602,70
603,75
604,74
605,75
606,73
607,71
608,71
609,72
610,73
611,73
612,72
613,69
614,73
615,78
616,71
617,73
618,75
619,76
620,70
621,74
622,77
623,75
624,79
625,72
626,77
627,73
628,75
629,75
630,75
631,73
632,73
633,76
634,77
635,75
636,70
637,71
638,71
639,75
640,74
641,69
642,70
643,75
644,72
645,75
646,73
647,72
648,72
649,72
650,76
651,75
652,74
653,69
654,73
655,72
656,72
657,75
658,77
659,76
660,80
661,77
662,76
663,79
664,71
665,75
666,73
667,76
668,77
669,73
670,76
671,70
672,75
673,73
674,75
675,70
676,69
677,71
678,72
679,72
680,73
681,70
682,70
683,73
684,76
685,75
686,72
687,73
688,79
689,71
690,72
691,74
692,74
693,74
694,72
695,76
696,76
697,72
698,72
699,71
700,72
701,72
702,70
703,77
704,74
705,72
706,76
707,71
708,76
709,71
710,73
711,70
712,73
713,73
714,72
715,71
716,71
717,71
718,72
719,72
720,74
721,74
722,74
723,71
724,72
725,75
726,72
727,71
728,72
729,72
730,72
731,72
732,74
733,74
734,77
735,75
736,73
737,75
738,73
739,76
740,72
741,77
742,75
743,72
744,71
745,71
746,75
747,72
748,73
749,73
750,71
751,70
752,75
753,71
754,76
755,73
756,68
757,71
758,72
759,74
760,77
761,72
762,76
763,78
764,81
765,72
766,73
767,76
768,72
769,72
770,74
771,76
772,73
773,76
774,75
775,70
776,71
777,74
778,72
779,73
780,76
781,76
782,73
783,71
784,68
785,71
786,71
787,74
788,77
789,69
790,72
791,76
792,75
793,76
794,75
795,76
796,72
797,74
798,76
799,74
800,72
801,75
802,78
803,77
804,70
805,72
806,79
807,74
808,71
809,68
810,77
811,75
812,71
813,72
814,70
815,72
816,72
817,73
818,72
819,74
820,72
821,72
822,75
823,72
824,73
825,74
826,72
827,78
828,75
829,72
830,74
831,75
832,75
833,76
834,74
835,74
836,73
837,74
838,71
839,74
840,75
841,76
842,74
843,76
844,76
845,73
846,75
847,75
848,74
849,68
850,72
851,75
852,71
853,70
854,72
855,73
856,72
857,75
858,74
859,70
860,76
861,71
862,82
863,72
864,73
865,74
866,71
867,75
868,77
869,72
870,74
871,72
872,73
873,78
874,77
875,73
876,73
877,73
878,73
879,73
880,76
881,75
882,70
883,73
884,72
885,73
886,75
887,74
888,73
889,73
890,76
891,73
892,75
893,70
894,77
895,72
896,77
897,74
898,75
899,75
900,75
901,75
902,72
903,74
904,71
905,76
906,71
907,75
908,76
909,83
910,75
911,74
912,76
913,72
914,72
915,75
916,75
917,72
918,77
919,73
920,72
921,70
922,74
923,72
924,74
925,72
926,71
927,70
928,71
929,76
930,74
931,76
932,74
933,74
934,74
935,75
936,75
937,71
938,71
939,74
940,77
941,71
942,74
943,75
944,77
945,76
946,74
947,76
948,72
949,71
950,72
951,75
952,73
953,68
954,72
955,69
956,73
957,73
958,75
959,70
960,70
961,74
962,75
963,74
964,74
965,73
966,74
967,75
968,77
969,73
970,74
971,76
972,74
973,75
974,73
975,76
976,78
977,75
978,73
979,77
980,74
981,72
982,74
983,72
984,71
985,73
986,75
987,73
988,67
989,67
990,76
991,74
992,73
993,70
994,75
995,70
996,72
997,77
998,79
999,78
1000,74
1001,75
1002,75
1003,78
1004,76
1005,75
1006,69
1007,75
1008,72
1009,75
1010,73
1011,74
1012,75
1013,75
1014,73
